City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,sao gabriel da cachoeira,-0.1303,-67.0892,24.83,96,100,1.13,BR,1712795373
113,bestobe,52.4994,73.0975,1.74,95,100,5.28,KZ,1712795374
114,atafu village,-8.5421,-172.5159,29.86,75,79,4.54,TK,1712795247
115,camiri,-20.05,-63.5167,21.63,99,100,1.56,BO,1712795374
116,camana,-16.6228,-72.7111,21.53,86,100,3.45,PE,1712795206
117,kalifornsky,60.4183,-151.29,4.19,65,75,3.6,US,1712795374
118,goz beida,13.95,20.55,27.92,9,8,3.47,TD,1712795374
119,lebu,-37.6167,-73.65,11.89,74,94,1.17,CL,1712795374
120,aleksandrovsk-sakhalinskiy,50.8975,142.1561,4.2,69,29,8.68,RU,1712795374
121,tazacorte,28.629,-17.9293,19.54,77,100,6.17,ES,1712795242
122,knyaze-volkonskoye,48.4642,135.4567,10.19,51,87,5.36,RU,1712795375
123,crane,31.3974,-102.3501,21.55,18,0,7.84,US,1712795242
124,katghora,22.5,82.55,24.84,46,100,1.34,IN,1712795375
125,yellowknife,62.456,-114.3525,1.34,85,20,3.6,CA,1712795096
126,uturoa,-16.7333,-151.4333,28.96,78,34,8.06,PF,1712795375
127,sosua,19.7667,-70.5167,24.99,78,20,0.0,DO,1712795375
128,vilyuchinsk,52.9306,158.4028,4.58,72,79,15.64,RU,1712795216
129,xining,36.6167,101.7667,7.13,40,0,1.08,CN,1712795150
130,stanley,54.868,-1.6985,13.01,88,75,5.14,GB,1712795196
131,puerto aysen,-45.4,-72.7,4.5,95,0,1.15,CL,1712795122
132,pandan,14.0453,124.1694,27.03,75,98,3.46,PH,1712795229
133,saudarkrokur,65.7461,-19.6394,-2.48,85,100,2.2,IS,1712795376
134,piterka,50.6803,47.4454,13.21,76,88,4.86,RU,1712795376
135,ulan bator,47.9077,106.8832,5.07,60,40,1.0,MN,1712795376
136,ola,59.5833,151.2833,-2.7,61,2,2.54,RU,1712795215
137,puerto ayora,-0.7393,-90.3518,25.86,98,73,2.53,EC,1712795376
138,hovd,48.0056,91.6419,4.65,47,99,1.85,MN,1712795376
139,tolanaro,-25.0319,46.9987,24.04,94,40,1.03,MG,1712795376
140,saipan,15.1355,145.701,31.39,62,40,8.23,MP,1712795236
141,amungan,15.3652,119.9582,29.62,60,59,1.37,PH,1712795376
142,santa ana de yacuma,-13.75,-65.4333,26.07,88,85,2.97,BO,1712795376
143,nuku'alofa,-21.1333,-175.2,29.19,74,40,7.47,TO,1712795377
144,bondoukou,8.0333,-2.8,25.44,80,100,3.15,CI,1712795377
145,caister-on-sea,52.6481,1.7265,13.13,95,100,8.69,GB,1712795377
146,sinop,41.7711,34.8709,9.3,82,82,1.64,TR,1712795377
147,polyarnyy,69.1989,33.4478,3.29,90,100,9.4,RU,1712795270
148,gemena,3.25,19.7667,23.79,82,74,1.09,CD,1712795377
149,kapuskasing,49.4169,-82.4331,11.05,58,40,1.54,CA,1712795377
150,petropavlovsk-kamchatsky,53.0452,158.6483,3.76,70,20,16.09,RU,1712795275
151,longyearbyen,78.2186,15.6401,-15.09,72,20,5.66,SJ,1712795278
152,punta alta,-38.8759,-62.0736,13.38,55,98,2.98,AR,1712795186
153,taksimo,56.3444,114.8794,-4.63,84,97,0.44,RU,1712795378
154,nemuro,43.3236,145.575,4.79,63,68,3.73,JP,1712795228
155,tambura,5.6,27.4667,24.52,42,53,0.95,SS,1712795378
156,posto fiscal rolim de moura,-13.0833,-62.2667,25.65,89,67,1.11,BR,1712795284
157,ulsteinvik,62.3432,5.8487,6.5,77,85,2.24,NO,1712795378
158,fort-shevchenko,44.5086,50.263,15.4,50,100,6.1,KZ,1712795378
159,olonkinbyen,70.9221,-8.7187,-6.81,74,100,5.67,SJ,1712795378
160,ciudad lazaro cardenas,17.9583,-102.2,26.62,65,30,5.23,MX,1712795378
161,talnakh,69.4865,88.3972,-32.11,100,80,1.57,RU,1712795378
162,yuzhno-kurilsk,44.0306,145.8556,4.65,76,30,3.31,RU,1712795300
163,rawalpindi,33.6007,73.0679,18.46,67,84,1.73,PK,1712795378
164,mount pearl,47.5166,-52.7813,-1.03,79,100,4.63,CA,1712795379
165,sorsk,54.0033,90.2467,0.82,95,100,1.01,RU,1712795379
166,mwinilunga,-11.7358,24.4293,18.06,98,100,1.24,ZM,1712795379
167,kapa'a,22.0752,-159.319,28.99,70,0,4.63,US,1712795159
168,noumea,-22.2763,166.4572,27.78,99,94,5.34,NC,1712795379
169,igbo-ora,7.4333,3.2833,26.53,77,100,1.56,NG,1712795379
170,wiradesa,-6.8922,109.619,26.81,84,100,1.2,ID,1712795380
171,puerto cabezas,14.0351,-83.3888,27.61,74,95,3.46,NI,1712795380
172,georgetown,5.4112,100.3354,27.19,84,20,1.54,MY,1712795320
173,minas de marcona,-15.2119,-75.1103,17.62,82,96,5.59,PE,1712795380
174,ruiz,21.95,-105.15,27.85,38,7,3.96,MX,1712795380
175,pisco,-13.7,-76.2167,22.03,83,0,4.63,PE,1712795380
176,mochudi,-24.4167,26.15,16.73,54,0,2.7,BW,1712795380
177,vodnyy,63.5046,53.4095,-1.44,97,100,2.31,RU,1712795380
178,hamilton,39.1834,-84.5333,17.1,96,100,1.54,US,1712795155
179,bereznik,62.8551,42.7072,4.88,91,100,5.12,RU,1712795380
180,fisterra,42.9049,-9.2629,12.08,75,100,3.89,ES,1712795381
181,tamanrasset,22.785,5.5228,24.95,12,20,5.14,DZ,1712795381
182,thompson,55.7435,-97.8558,9.09,49,100,4.63,CA,1712795381
183,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.06,GF,1712795381
184,palmer,42.1584,-72.3287,14.73,69,100,2.06,US,1712795222
185,kone,-21.0595,164.8658,24.5,97,95,1.57,NC,1712795381
186,port augusta,-32.5,137.7667,17.9,54,2,3.66,AU,1712795381
187,las tablas,7.7667,-80.2833,27.32,99,74,1.84,PA,1712795381
188,smithers,54.7804,-127.1743,8.18,49,100,4.12,CA,1712795196
189,bougouni,11.417,-7.479,28.48,54,87,2.28,ML,1712795382
190,aral,40.5156,81.2636,14.42,93,6,3.31,CN,1712795382
191,yanam,16.7333,82.2167,23.02,93,35,0.59,IN,1712795382
192,todos santos,23.45,-110.2167,26.28,63,8,3.83,MX,1712795382
193,dryden,49.7833,-92.7503,12.16,43,75,1.54,CA,1712795382
194,usinsk,65.9939,57.5281,-16.63,94,71,3.58,RU,1712795382
195,horta,38.5333,-28.6333,16.68,97,75,5.14,PT,1712795238
196,fortuna,40.5982,-124.1573,16.07,83,0,7.2,US,1712795382
197,kodiak,57.79,-152.4072,2.73,56,20,3.6,US,1712795136
198,castillos,-34.1667,-53.8333,14.39,61,78,4.71,UY,1712795383
199,mirnyy,62.5353,113.9611,-12.09,83,100,3.58,RU,1712795383
200,codrington,-38.2667,141.9667,14.35,66,96,4.63,AU,1712795252
201,colonia,50.9333,6.95,9.9,73,0,2.57,DE,1712795252
202,tara,56.8944,74.371,-3.7,88,100,2.84,RU,1712795383
203,qaqortoq,60.7167,-46.0333,-5.04,97,90,1.02,GL,1712795355
204,la passe,45.5549,-0.8967,12.21,80,99,1.83,FR,1712795383
205,adolfo lopez mateos,28.4667,-107.3,19.96,10,0,3.93,MX,1712795383
