City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,port saint john's,-31.6229,29.5448,64.04,81,98,18.41,ZA,1712790495
118,wad az zaki,14.4619,32.2065,79.36,11,1,11.77,SD,1712790495
119,ain touta,35.3768,5.9,48.43,75,0,10.89,DZ,1712790495
120,ipiau,-14.1372,-39.7339,72.27,98,92,1.7,BR,1712790495
121,ust-nera,64.5667,143.2,13.55,92,84,7.16,RU,1712790495
122,lompoc,34.6391,-120.4579,74.79,67,0,16.11,US,1712790496
123,bethel,41.3712,-73.414,62.69,72,100,5.75,US,1712790247
124,sao francisco,-15.9486,-44.8644,80.26,63,100,7.02,BR,1712790496
125,tsiombe,-25.3,45.4833,74.52,88,39,11.45,MG,1712790438
126,matelica,43.2541,13.0106,55.8,73,100,2.95,IT,1712790496
127,beaudesert,-27.9833,152.9833,73.69,77,0,3.47,AU,1712790496
128,nyurba,63.2842,118.3319,19.69,95,100,10.89,RU,1712790496
129,al qadarif,14.0349,35.3834,82.56,8,1,11.05,SD,1712790496
130,mizdah,31.4451,12.9801,56.55,69,99,6.13,LY,1712790496
131,hammamet,36.4,10.6167,55.26,79,62,7.43,TN,1712790496
132,lagoa,39.05,-27.9833,60.93,89,87,23.4,PT,1712790496
133,gizo,-8.103,156.8419,83.21,76,99,5.14,SB,1712790496
134,katsuura,35.1333,140.3,56.82,65,45,7.92,JP,1712790496
135,baoding,38.8511,115.4903,52.18,66,0,1.77,CN,1712790496
136,college,64.8569,-147.8028,44.92,43,20,5.75,US,1712790437
137,enewetak,11.3474,162.3373,80.8,81,100,22.32,MH,1712790497
138,xinji,37.9028,115.2036,55.02,78,0,2.66,CN,1712790319
139,kangaba,11.9333,-8.4167,86.25,41,100,5.26,ML,1712790438
140,murray bridge,-35.1167,139.2667,56.34,59,99,7.56,AU,1712790497
141,anadyr,64.75,177.4833,18.1,78,40,13.42,RU,1712790444
142,parsons,37.3403,-95.2611,59.29,77,100,10.11,US,1712790497
143,estreito,-5.7833,-43.25,75.9,95,99,2.06,BR,1712790497
144,lasem,-6.6922,111.4527,77.99,90,84,3.11,ID,1712790497
145,salinopolis,-0.6136,-47.3561,79.65,84,65,8.01,BR,1712790448
146,manismata,-2.4667,111.0333,74.66,98,100,1.5,ID,1712790497
147,usogorsk,63.4106,48.6872,34.66,100,100,8.93,RU,1712790497
148,hanzhong,33.0728,107.0303,54.82,88,100,2.42,CN,1712790441
149,atar,20.5169,-13.0499,83.35,11,0,4.97,MR,1712790497
150,maitum,6.0392,124.4986,82.06,72,87,2.17,PH,1712790498
151,odda,60.0691,6.5457,45.77,96,87,7.27,NO,1712790498
152,port elizabeth,-33.918,25.5701,58.32,80,94,3.0,ZA,1712790498
153,jamestown,42.097,-79.2353,62.19,63,100,0.0,US,1712790320
154,kolpny,52.2282,37.0368,60.51,66,8,5.61,RU,1712790498
